Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4111865,GHED_CHEGDP_SHA2011,COUNTRY,DNK,EUR,Europe,YEAR,2022,,,,,,,,,9.48,9.47586,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
4113712,GHED_CHEGDP_SHA2011,COUNTRY,CRI,AMR,Americas,YEAR,2016,,,,,,,,,7.32,7.31724,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
4114126,GHED_CHEGDP_SHA2011,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2000,,,,,,,,,3.34,3.33543,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
4115848,GHED_CHEGDP_SHA2011,COUNTRY,KAZ,EUR,Europe,YEAR,2007,,,,,,,,,2.7,2.70315,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
4116762,GHED_CHEGDP_SHA2011,COUNTRY,BRN,WPR,Western Pacific,YEAR,2000,,,,,,,,,2.55,2.54791,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
4116907,GHED_CHEGDP_SHA2011,COUNTRY,COD,AFR,Africa,YEAR,2004,,,,,,,,,4.34,4.33564,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
4117994,GHED_CHEGDP_SHA2011,COUNTRY,PAN,AMR,Americas,YEAR,2019,,,,,,,,,8.14,8.13542,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
4118316,GHED_CHEGDP_SHA2011,COUNTRY,PER,AMR,Americas,YEAR,2019,,,,,,,,,5.14,5.13816,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
4118502,GHED_CHEGDP_SHA2011,COUNTRY,SEN,AFR,Africa,YEAR,2007,,,,,,,,,3.41,3.41497,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
4119503,GHED_CHEGDP_SHA2011,COUNTRY,CHL,AMR,Americas,YEAR,2020,,,,,,,,,9.69,9.68911,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
4120027,GHED_CHEGDP_SHA2011,COUNTRY,ESP,EUR,Europe,YEAR,2001,,,,,,,,,6.77,6.76896,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
4124478,GHED_CHEGDP_SHA2011,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2019,,,,,,,,,4.08,4.07903,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
4124568,GHED_CHEGDP_SHA2011,COUNTRY,CUB,AMR,Americas,YEAR,2001,,,,,,,,,6.98,6.9821,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
4125057,GHED_CHEGDP_SHA2011,COUNTRY,BGR,EUR,Europe,YEAR,2001,,,,,,,,,6.86,6.85959,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
4125319,GHED_CHEGDP_SHA2011,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,5.16,5.16087,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
4130506,GHED_CHEGDP_SHA2011,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,7.17,7.16592,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
4139033,GHED_CHEGDP_SHA2011,REGION,SEAR,,,YEAR,2007,,,,,,,,,3.92,3.92131,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
4141034,GHED_CHEGDP_SHA2011,COUNTRY,POL,EUR,Europe,YEAR,2016,,,,,,,,,6.59,6.5921,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
4142905,GHED_CHEGDP_SHA2011,COUNTRY,LCA,AMR,Americas,YEAR,2011,,,,,,,,,5.08,5.07878,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
4144729,GHED_CHEGDP_SHA2011,COUNTRY,ZMB,AFR,Africa,YEAR,2013,,,,,,,,,4.57,4.5739,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
4149179,GHED_CHEGDP_SHA2011,COUNTRY,MHL,WPR,Western Pacific,YEAR,2014,,,,,,,,,12.11,12.11,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
4150350,GHED_CHEGDP_SHA2011,COUNTRY,RWA,AFR,Africa,YEAR,2016,,,,,,,,,6.96,6.96089,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
4152094,GHED_CHEGDP_SHA2011,COUNTRY,NLD,EUR,Europe,YEAR,2018,,,,,,,,,10.02,10.01994,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
4156943,GHED_CHEGDP_SHA2011,COUNTRY,ZMB,AFR,Africa,YEAR,2019,,,,,,,,,6.75,6.7533,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
4157669,GHED_CHEGDP_SHA2011,COUNTRY,BEL,EUR,Europe,YEAR,2003,,,,,,,,,9.16,9.16443,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
4161349,GHED_CHEGDP_SHA2011,COUNTRY,DMA,AMR,Americas,YEAR,2006,,,,,,,,,4.78,4.78092,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
4163977,GHED_CHEGDP_SHA2011,COUNTRY,GBR,EUR,Europe,YEAR,2022,,,,,,,,,11.05,11.05088,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
4165938,GHED_CHEGDP_SHA2011,COUNTRY,LUX,EUR,Europe,YEAR,2015,,,,,,,,,5.08,5.08114,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
4166157,GHED_CHEGDP_SHA2011,COUNTRY,NER,AFR,Africa,YEAR,2018,,,,,,,,,5.3,5.30311,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
4170747,GHED_CHEGDP_SHA2011,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2013,,,,,,,,,2.87,2.86935,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
4171495,GHED_CHEGDP_SHA2011,COUNTRY,GNB,AFR,Africa,YEAR,2008,,,,,,,,,5.46,5.45864,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
4171744,GHED_CHEGDP_SHA2011,COUNTRY,PLW,WPR,Western Pacific,YEAR,2013,,,,,,,,,10.93,10.92692,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
4175661,GHED_CHEGDP_SHA2011,COUNTRY,JAM,AMR,Americas,YEAR,2019,,,,,,,,,6.1,6.09761,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
4175813,GHED_CHEGDP_SHA2011,COUNTRY,HTI,AMR,Americas,YEAR,2021,,,,,,,,,3.44,3.44216,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
4176629,GHED_CHEGDP_SHA2011,COUNTRY,BEL,EUR,Europe,YEAR,2006,,,,,,,,,9.13,9.12786,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
4176978,GHED_CHEGDP_SHA2011,COUNTRY,ERI,AFR,Africa,YEAR,2010,,,,,,,,,4.82,4.81867,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
4181464,GHED_CHEGDP_SHA2011,COUNTRY,EST,EUR,Europe,YEAR,2021,,,,,,,,,7.48,7.4786,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
