Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
8823664,GHED_EXTCHE_SHA2011,COUNTRY,TON,WPR,Western Pacific,YEAR,2012,,,,,,,,,58.43,58.42934,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
8829327,GHED_EXTCHE_SHA2011,COUNTRY,NER,AFR,Africa,YEAR,2013,,,,,,,,,11.85,11.84974,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
8833175,GHED_EXTCHE_SHA2011,COUNTRY,LCA,AMR,Americas,YEAR,2005,,,,,,,,,2.18,2.18109,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
8833678,GHED_EXTCHE_SHA2011,COUNTRY,KHM,WPR,Western Pacific,YEAR,2014,,,,,,,,,22.71,22.71261,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
8839132,GHED_EXTCHE_SHA2011,COUNTRY,MDA,EUR,Europe,YEAR,2014,,,,,,,,,11.4,11.40311,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
8839221,GHED_EXTCHE_SHA2011,COUNTRY,KNA,AMR,Americas,YEAR,2005,,,,,,,,,0.08,0.07543,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
8840523,GHED_EXTCHE_SHA2011,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,23.03,23.02525,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
8842968,GHED_EXTCHE_SHA2011,COUNTRY,IND,SEAR,South-East Asia,YEAR,2006,,,,,,,,,1.44,1.43512,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
8843281,GHED_EXTCHE_SHA2011,COUNTRY,SRB,EUR,Europe,YEAR,2003,,,,,,,,,1.2,1.19921,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
8849063,GHED_EXTCHE_SHA2011,COUNTRY,STP,AFR,Africa,YEAR,2016,,,,,,,,,43.89,43.88588,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
