Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7273073,GHED_GGHE-DGGE_SHA2011,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2002,,,,,,,,,8.29,8.29187,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
7274797,GHED_GGHE-DGGE_SHA2011,REGION,EUR,,,YEAR,2005,,,,,,,,,12.12,12.12108,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
7276359,GHED_GGHE-DGGE_SHA2011,COUNTRY,NIC,AMR,Americas,YEAR,2001,,,,,,,,,12.79,12.79049,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
7276597,GHED_GGHE-DGGE_SHA2011,COUNTRY,NIU,WPR,Western Pacific,YEAR,2019,,,,,,,,,4.85,4.85101,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
7278874,GHED_GGHE-DGGE_SHA2011,COUNTRY,SWE,EUR,Europe,YEAR,2022,,,,,,,,,19.01,19.00659,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
7279793,GHED_GGHE-DGGE_SHA2011,COUNTRY,UGA,AFR,Africa,YEAR,2010,,,,,,,,,7.11,7.11344,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
7282770,GHED_GGHE-DGGE_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2019,,,,,,,,,12.13,12.13229,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
7283469,GHED_GGHE-DGGE_SHA2011,COUNTRY,JAM,AMR,Americas,YEAR,2005,,,,,,,,,7.43,7.4342,,,,2024-12-10T14:55:59Z,2005,2005-01-01,2005-12-31
7284846,GHED_GGHE-DGGE_SHA2011,COUNTRY,KAZ,EUR,Europe,YEAR,2022,,,,,,,,,10.6,10.5975,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
7288226,GHED_GGHE-DGGE_SHA2011,REGION,EUR,,,YEAR,2009,,,,,,,,,11.91,11.90726,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
7288541,GHED_GGHE-DGGE_SHA2011,COUNTRY,CRI,AMR,Americas,YEAR,2000,,,,,,,,,25.26,25.26477,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
7288671,GHED_GGHE-DGGE_SHA2011,COUNTRY,UKR,EUR,Europe,YEAR,2003,,,,,,,,,9.39,9.3855,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
7289367,GHED_GGHE-DGGE_SHA2011,COUNTRY,NZL,WPR,Western Pacific,YEAR,2016,,,,,,,,,19.23,19.22864,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
7294094,GHED_GGHE-DGGE_SHA2011,COUNTRY,NLD,EUR,Europe,YEAR,2015,,,,,,,,,15.2,15.20495,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
7295225,GHED_GGHE-DGGE_SHA2011,COUNTRY,CYP,EUR,Europe,YEAR,2019,,,,,,,,,9.94,9.94098,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
7300510,GHED_GGHE-DGGE_SHA2011,COUNTRY,MWI,AFR,Africa,YEAR,2001,,,,,,,,,7.04,7.0426,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
7301196,GHED_GGHE-DGGE_SHA2011,COUNTRY,MKD,EUR,Europe,YEAR,2001,,,,,,,,,12.2,12.1993,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
7302764,GHED_GGHE-DGGE_SHA2011,COUNTRY,SLV,AMR,Americas,YEAR,2003,,,,,,,,,17.19,17.18668,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
7307303,GHED_GGHE-DGGE_SHA2011,COUNTRY,MNE,EUR,Europe,YEAR,2015,,,,,,,,,11.63,11.63481,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
7308204,GHED_GGHE-DGGE_SHA2011,COUNTRY,MKD,EUR,Europe,YEAR,2017,,,,,,,,,11.83,11.82732,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
7308348,GHED_GGHE-DGGE_SHA2011,COUNTRY,SVN,EUR,Europe,YEAR,2015,,,,,,,,,12.45,12.4488,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
7321323,GHED_GGHE-DGGE_SHA2011,COUNTRY,PHL,WPR,Western Pacific,YEAR,2022,,,,,,,,,8.98,8.97605,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
7324700,GHED_GGHE-DGGE_SHA2011,COUNTRY,VCT,AMR,Americas,YEAR,2021,,,,,,,,,9.6,9.59725,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
7325204,GHED_GGHE-DGGE_SHA2011,COUNTRY,SVK,EUR,Europe,YEAR,2008,,,,,,,,,14.05,14.05093,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
7327147,GHED_GGHE-DGGE_SHA2011,COUNTRY,BEN,AFR,Africa,YEAR,2011,,,,,,,,,4.42,4.42361,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
7329872,GHED_GGHE-DGGE_SHA2011,COUNTRY,GUY,AMR,Americas,YEAR,2021,,,,,,,,,12.89,12.89485,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
7330022,GHED_GGHE-DGGE_SHA2011,COUNTRY,SWE,EUR,Europe,YEAR,2020,,,,,,,,,18.76,18.7569,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
7332463,GHED_GGHE-DGGE_SHA2011,COUNTRY,TGO,AFR,Africa,YEAR,2002,,,,,,,,,4.05,4.05133,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
7332464,GHED_GGHE-DGGE_SHA2011,COUNTRY,GNQ,AFR,Africa,YEAR,2015,,,,,,,,,1.33,1.33363,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
7333328,GHED_GGHE-DGGE_SHA2011,COUNTRY,MKD,EUR,Europe,YEAR,2018,,,,,,,,,12.41,12.41411,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
7340475,GHED_GGHE-DGGE_SHA2011,COUNTRY,NRU,WPR,Western Pacific,YEAR,2008,,,,,,,,,13.32,13.31953,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
7344658,GHED_GGHE-DGGE_SHA2011,COUNTRY,DOM,AMR,Americas,YEAR,2004,,,,,,,,,6.62,6.62145,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
