Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2058595,GHED_GGHE-DGDP_SHA2011,COUNTRY,GBR,EUR,Europe,YEAR,2001,,,,,,,,,5.65,5.64873,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
2059846,GHED_GGHE-DGDP_SHA2011,COUNTRY,ZMB,AFR,Africa,YEAR,2015,,,,,,,,,2.09,2.09054,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
2061652,GHED_GGHE-DGDP_SHA2011,COUNTRY,ISL,EUR,Europe,YEAR,2015,,,,,,,,,6.58,6.58262,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
2063358,GHED_GGHE-DGDP_SHA2011,COUNTRY,VUT,WPR,Western Pacific,YEAR,2001,,,,,,,,,2.52,2.51605,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
2063604,GHED_GGHE-DGDP_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2012,,,,,,,,,2.68,2.68024,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
2068539,GHED_GGHE-DGDP_SHA2011,COUNTRY,BLR,EUR,Europe,YEAR,2011,,,,,,,,,3.09,3.08842,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
2070275,GHED_GGHE-DGDP_SHA2011,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,4.47,4.47216,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
2071742,GHED_GGHE-DGDP_SHA2011,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,2.51,2.50761,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
2075868,GHED_GGHE-DGDP_SHA2011,COUNTRY,GMB,AFR,Africa,YEAR,2017,,,,,,,,,1.06,1.06098,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
2082242,GHED_GGHE-DGDP_SHA2011,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2001,,,,,,,,,1.97,1.97452,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
2083202,GHED_GGHE-DGDP_SHA2011,COUNTRY,GNB,AFR,Africa,YEAR,2007,,,,,,,,,0.6,0.59781,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
2086344,GHED_GGHE-DGDP_SHA2011,COUNTRY,MDG,AFR,Africa,YEAR,2007,,,,,,,,,1.9,1.90482,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
2087480,GHED_GGHE-DGDP_SHA2011,COUNTRY,COL,AMR,Americas,YEAR,2010,,,,,,,,,5.11,5.10726,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
2090153,GHED_GGHE-DGDP_SHA2011,COUNTRY,JPN,WPR,Western Pacific,YEAR,2017,,,,,,,,,8.97,8.97414,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
2091181,GHED_GGHE-DGDP_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2018,,,,,,,,,0.49,0.48568,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
2091974,GHED_GGHE-DGDP_SHA2011,COUNTRY,SLE,AFR,Africa,YEAR,2004,,,,,,,,,0.99,0.98751,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
2092819,GHED_GGHE-DGDP_SHA2011,COUNTRY,ISR,EUR,Europe,YEAR,2020,,,,,,,,,5.23,5.22783,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
2093398,GHED_GGHE-DGDP_SHA2011,COUNTRY,BOL,AMR,Americas,YEAR,2016,,,,,,,,,4.43,4.42945,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
2095463,GHED_GGHE-DGDP_SHA2011,REGION,AFR,,,YEAR,2015,,,,,,,,,1.69,1.69067,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
2097165,GHED_GGHE-DGDP_SHA2011,COUNTRY,AZE,EUR,Europe,YEAR,2001,,,,,,,,,0.81,0.80512,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
2097866,GHED_GGHE-DGDP_SHA2011,WORLDBANKINCOMEGROUP,WB_LMI,,,YEAR,2002,,,,,,,,,2.02,2.01929,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
2100260,GHED_GGHE-DGDP_SHA2011,COUNTRY,CHL,AMR,Americas,YEAR,2004,,,,,,,,,2.73,2.72724,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
2102269,GHED_GGHE-DGDP_SHA2011,COUNTRY,BLZ,AMR,Americas,YEAR,2013,,,,,,,,,2.94,2.94083,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
2109591,GHED_GGHE-DGDP_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2003,,,,,,,,,2.05,2.04557,,,,2024-12-10T14:55:59Z,2003,2003-01-01,2003-12-31
2115691,GHED_GGHE-DGDP_SHA2011,COUNTRY,BIH,EUR,Europe,YEAR,2001,,,,,,,,,4.33,4.33065,,,,2024-12-10T14:55:59Z,2001,2001-01-01,2001-12-31
2117158,GHED_GGHE-DGDP_SHA2011,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2016,,,,,,,,,3.19,3.19357,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
2119414,GHED_GGHE-DGDP_SHA2011,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,1.63,1.62576,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
2120216,GHED_GGHE-DGDP_SHA2011,COUNTRY,BDI,AFR,Africa,YEAR,2012,,,,,,,,,2.67,2.66949,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
2121973,GHED_GGHE-DGDP_SHA2011,COUNTRY,COD,AFR,Africa,YEAR,2011,,,,,,,,,0.35,0.34668,,,,2024-12-10T14:55:59Z,2011,2011-01-01,2011-12-31
2123258,GHED_GGHE-DGDP_SHA2011,WORLDBANKINCOMEGROUP,WB_HI,,,YEAR,2015,,,,,,,,,5.22,5.22468,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
2125370,GHED_GGHE-DGDP_SHA2011,COUNTRY,PLW,WPR,Western Pacific,YEAR,2009,,,,,,,,,4,3.99591,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
2129979,GHED_GGHE-DGDP_SHA2011,REGION,AMR,,,YEAR,2004,,,,,,,,,2.94,2.93679,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
2132295,GHED_GGHE-DGDP_SHA2011,COUNTRY,COD,AFR,Africa,YEAR,2016,,,,,,,,,0.53,0.5303,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
2134825,GHED_GGHE-DGDP_SHA2011,COUNTRY,BRB,AMR,Americas,YEAR,2006,,,,,,,,,3.7,3.70458,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
2134902,GHED_GGHE-DGDP_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2006,,,,,,,,,0.48,0.47882,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
2145619,GHED_GGHE-DGDP_SHA2011,COUNTRY,COL,AMR,Americas,YEAR,2017,,,,,,,,,5.45,5.45498,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
2146367,GHED_GGHE-DGDP_SHA2011,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2020,,,,,,,,,0.41,0.40978,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
2150096,GHED_GGHE-DGDP_SHA2011,COUNTRY,LTU,EUR,Europe,YEAR,2018,,,,,,,,,4.31,4.30953,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
2150204,GHED_GGHE-DGDP_SHA2011,COUNTRY,ECU,AMR,Americas,YEAR,2014,,,,,,,,,4.16,4.15686,,,,2024-12-10T14:55:59Z,2014,2014-01-01,2014-12-31
2150406,GHED_GGHE-DGDP_SHA2011,COUNTRY,LSO,AFR,Africa,YEAR,2008,,,,,,,,,4.37,4.36958,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
2151571,GHED_GGHE-DGDP_SHA2011,COUNTRY,PAN,AMR,Americas,YEAR,2010,,,,,,,,,4.65,4.65331,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
2154219,GHED_GGHE-DGDP_SHA2011,COUNTRY,AGO,AFR,Africa,YEAR,2021,,,,,,,,,1.71,1.70953,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
2155086,GHED_GGHE-DGDP_SHA2011,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2017,,,,,,,,,1.37,1.36586,,,,2024-12-10T14:55:59Z,2017,2017-01-01,2017-12-31
2155547,GHED_GGHE-DGDP_SHA2011,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2018,,,,,,,,,0.73,0.7266,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
2156247,GHED_GGHE-DGDP_SHA2011,COUNTRY,PHL,WPR,Western Pacific,YEAR,2010,,,,,,,,,1.32,1.31791,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
2163056,GHED_GGHE-DGDP_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2004,,,,,,,,,5.56,5.56338,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
2163245,GHED_GGHE-DGDP_SHA2011,COUNTRY,SUR,AMR,Americas,YEAR,2000,,,,,,,,,2.84,2.84068,,,,2024-12-10T14:55:59Z,2000,2000-01-01,2000-12-31
2164406,GHED_GGHE-DGDP_SHA2011,COUNTRY,CAN,AMR,Americas,YEAR,2002,,,,,,,,,6.42,6.41562,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
2165329,GHED_GGHE-DGDP_SHA2011,COUNTRY,NIU,WPR,Western Pacific,YEAR,2006,,,,,,,,,42.5,42.50037,,,,2024-12-10T14:55:59Z,2006,2006-01-01,2006-12-31
2165876,GHED_GGHE-DGDP_SHA2011,COUNTRY,ALB,EUR,Europe,YEAR,2021,,,,,,,,,2.94,2.93651,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
2167278,GHED_GGHE-DGDP_SHA2011,COUNTRY,UGA,AFR,Africa,YEAR,2022,,,,,,,,,0.98,0.97753,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
2172957,GHED_GGHE-DGDP_SHA2011,COUNTRY,MDG,AFR,Africa,YEAR,2015,,,,,,,,,1.99,1.99011,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
2173819,GHED_GGHE-DGDP_SHA2011,COUNTRY,SWZ,AFR,Africa,YEAR,2008,,,,,,,,,4.45,4.45392,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
2174036,GHED_GGHE-DGDP_SHA2011,COUNTRY,MWI,AFR,Africa,YEAR,2002,,,,,,,,,0.97,0.97494,,,,2024-12-10T14:55:59Z,2002,2002-01-01,2002-12-31
2175779,GHED_GGHE-DGDP_SHA2011,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2013,,,,,,,,,2.81,2.80836,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
2176220,GHED_GGHE-DGDP_SHA2011,COUNTRY,FSM,WPR,Western Pacific,YEAR,2007,,,,,,,,,1.03,1.02949,,,,2024-12-10T14:55:59Z,2007,2007-01-01,2007-12-31
