Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5875714,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,PER,AMR,Americas,YEAR,2016,,,,,,,,,193.43,193.4292,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
5884939,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,KOR,WPR,Western Pacific,YEAR,2012,,,,,,,,,871.67,871.67286,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
5890282,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MWI,AFR,Africa,YEAR,2004,,,,,,,,,3.36,3.35842,,,,2024-12-10T14:55:59Z,2004,2004-01-01,2004-12-31
5895125,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,COK,WPR,Western Pacific,YEAR,2012,,,,,,,,,478.51,478.50771,,,,2024-12-10T14:55:59Z,2012,2012-01-01,2012-12-31
5896947,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,1463.38,1463.37627,,,,2024-12-10T14:55:59Z,2018,2018-01-01,2018-12-31
5902405,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MCO,EUR,Europe,YEAR,2016,,,,,,,,,6194.79,6194.78784,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
5902703,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,BLR,EUR,Europe,YEAR,2016,,,,,,,,,210.66,210.65683,,,,2024-12-10T14:55:59Z,2016,2016-01-01,2016-12-31
5903270,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,KIR,WPR,Western Pacific,YEAR,2022,,,,,,,,,176.01,176.01387,,,,2024-12-10T14:55:59Z,2022,2022-01-01,2022-12-31
5908011,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,SVK,EUR,Europe,YEAR,2010,,,,,,,,,920.51,920.50811,,,,2024-12-10T14:55:59Z,2010,2010-01-01,2010-12-31
5908043,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,BDI,AFR,Africa,YEAR,2021,,,,,,,,,5.75,5.75012,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
5909132,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MNG,WPR,Western Pacific,YEAR,2019,,,,,,,,,93.17,93.17155,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
5915162,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,MUS,AFR,Africa,YEAR,2013,,,,,,,,,183.94,183.9382,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
5916882,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,15.91,15.90894,,,,2024-12-10T14:55:59Z,2021,2021-01-01,2021-12-31
5918517,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,CZE,EUR,Europe,YEAR,2009,,,,,,,,,1195.38,1195.37963,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
5920779,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,KEN,AFR,Africa,YEAR,2009,,,,,,,,,15.3,15.29923,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
5921153,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,DNK,EUR,Europe,YEAR,2013,,,,,,,,,5350.15,5350.14706,,,,2024-12-10T14:55:59Z,2013,2013-01-01,2013-12-31
5922703,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,THA,SEAR,South-East Asia,YEAR,2008,,,,,,,,,112.35,112.3505,,,,2024-12-10T14:55:59Z,2008,2008-01-01,2008-12-31
5924285,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,KOR,WPR,Western Pacific,YEAR,2019,,,,,,,,,1499.23,1499.23042,,,,2024-12-10T14:55:59Z,2019,2019-01-01,2019-12-31
5926327,GHED_GGHE-D_pc_US_SHA2011,WORLDBANKINCOMEGROUP,WB_LMI,,,YEAR,2009,,,,,,,,,46.54,46.54205,,,,2024-12-10T14:55:59Z,2009,2009-01-01,2009-12-31
5927287,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,TZA,AFR,Africa,YEAR,2015,,,,,,,,,11.46,11.4616,,,,2024-12-10T14:55:59Z,2015,2015-01-01,2015-12-31
5928356,GHED_GGHE-D_pc_US_SHA2011,COUNTRY,SVN,EUR,Europe,YEAR,2020,,,,,,,,,1754.28,1754.27939,,,,2024-12-10T14:55:59Z,2020,2020-01-01,2020-12-31
